cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
0,3044.5898555509,11.793609083411,3124.81633385374,11.3872624004524,1.0,0.9655451795896668,23.73786329102046,25.404718,0.00020155437296701424,3944315.50178908,,Cell2
1,2073.88627354439,8.28290885937954,3124.81633385374,11.0549721505498,1.0,1.0,23.562243855961523,25.199289,0.00020293806314431953,3917422.0225117058,,Cell2
2,2049.44658574826,8.18087641725071,3028.28266593896,10.795038586648,1.0,1.0,23.33722815254772,24.630417,0.0002028917259445354,3918316.698554199,,Cell2
3,2088.99595897611,8.33594065435117,2954.8561591067,10.5943933565839,1.0,1.0,23.44999894124468,24.62330519999999,0.00021557286755552232,3919760.6346227843,,Cell2
4,2081.03773982295,8.2599217555154,2898.2866567523,10.4256102187388,1.0,1.0,23.56483348643411,24.922756,0.00020274632252239747,3921126.7946876786,,Cell2
5,2073.22502642724,8.18637834286974,2086.78485369954,7.14429492948455,1.0,0.8727051976173524,30.208278906060606,37.6884817,0.0002103208850224495,3922549.2967552436,,Cell2
6,2073.17193389067,8.18592101025376,2087.41316581543,7.14434065924619,1.0,0.8727595404716371,30.188574627016127,37.750506999999985,0.00021788854301407472,3923997.2388155875,,Cell2
7,2074.42326625698,8.189986752894686,2087.37543311985,7.14527332537431,1.0,0.8724401566155,30.291700437308872,37.667149,0.00021016516318974772,3925455.708866211,,Cell2
8,2074.14124428879,8.188470709013195,2087.89381792914,7.14463218891243,1.0,0.8725233859661007,30.26412846471774,37.825171999999995,0.00021771886102423633,3927055.464945714,,Cell2
9,2074.35547951169,8.189297740782768,2088.68361397353,7.14446009409598,1.0,0.8724142558056611,30.30848139959637,38.0305975,0.00021763677626011419,3928536.609020206,,Cell2
10,2051.06684071372,8.09100893909333,2094.16893034885,7.14374905880365,1.0,0.8829243809492282,30.332891916580845,38.204422,0.0002150454316316332,3929374.533062344,,Cell2
